Month, Day, Time, Unit, Offset, Freq, Path_Delay
May,11,23:35:18,phc2sys[4887]:,-522,+4169,37203
May,11,23:35:18,phc2sys[4887]:,-943,+3592,36425
May,11,23:35:19,phc2sys[5121]:,36999998119,+3591,38815
May,11,23:35:18,phc2sys[5121]:,28280,+15735,45943
May,11,23:35:19,phc2sys[5121]:,17215,+13154,45721
May,11,23:35:20,phc2sys[5121]:,1244,+2348,26926
May,11,23:35:21,phc2sys[5121]:,-271,+1206,26926
May,11,23:35:22,phc2sys[5121]:,2113,+3509,26925
May,11,23:35:23,phc2sys[5121]:,3411,+5440,26926
May,11,23:35:24,phc2sys[5121]:,1932,+4985,27093
May,11,23:35:25,phc2sys[5121]:,1600,+5232,41426
May,11,23:35:26,phc2sys[5121]:,1771,+5883,46092
May,11,23:35:27,phc2sys[5121]:,864,+5508,46147
May,11,23:35:28,phc2sys[5121]:,125,+5028,45741
May,11,23:35:29,phc2sys[5121]:,-1201,+3739,46018
May,11,23:35:30,phc2sys[5121]:,-617,+3963,38000
May,11,23:35:32,phc2sys[5121]:,-1637,+2758,45740
May,11,23:35:33,phc2sys[5121]:,-849,+3055,46019
May,11,23:35:34,phc2sys[5121]:,1392,+5041,45907
May,11,23:35:35,phc2sys[5121]:,1636,+5703,45777
May,11,23:35:36,phc2sys[5121]:,3177,+7735,45981
May,11,23:35:37,phc2sys[5121]:,1879,+7390,45981
May,11,23:35:38,phc2sys[5121]:,-1403,+4671,36333
May,11,23:35:39,phc2sys[5121]:,-1827,+3826,36148
May,11,23:35:40,phc2sys[5121]:,-2522,+2583,36796
May,11,23:35:41,phc2sys[5121]:,-1080,+3269,37870
May,11,23:35:42,phc2sys[5121]:,-1066,+2959,38000
May,11,23:35:43,phc2sys[5121]:,1319,+5024,40388
May,11,23:35:44,phc2sys[5121]:,-89,+4012,37833
May,11,23:35:45,phc2sys[5121]:,-36999998544,-100000000,37166
May,11,23:35:46,phc2sys[5121]:,-36907658587,-100000000,40965
May,11,23:35:47,phc2sys[5121]:,-36815394741,-100000000,45670
May,11,23:35:48,phc2sys[5121]:,-36723862634,-100000000,40761
May,11,23:35:49,phc2sys[5121]:,-36629727483,-100000000,45915
May,11,23:35:50,phc2sys[5121]:,-36535574021,-100000000,54267
May,11,23:35:51,phc2sys[5121]:,-36441027516,-100000000,52107
May,11,23:35:52,phc2sys[5121]:,-36346573020,-100000000,46547
May,11,23:35:53,phc2sys[5121]:,-36252103520,-100000000,40537
May,11,23:35:54,phc2sys[5121]:,-36160740155,-100000000,41963
May,11,23:35:55,phc2sys[5121]:,-36066195448,-100000000,41169
May,11,23:35:56,phc2sys[5121]:,-35974376937,-100000000,41597
May,11,23:35:57,phc2sys[5121]:,-35880350565,-100000000,41352
May,11,23:35:58,phc2sys[5121]:,-35788781299,-100000000,47178
May,11,23:35:59,phc2sys[5121]:,-35697679628,-100000000,47035
May,11,23:36:00,phc2sys[5121]:,-35606363171,-100000000,39579
May,11,23:36:01,phc2sys[5121]:,-35514022903,-100000000,46301
May,11,23:36:02,phc2sys[5121]:,-35421882657,-100000000,46363
May,11,23:36:03,phc2sys[5121]:,-35330460294,-100000000,46139
May,11,23:36:04,phc2sys[5121]:,-35238634120,-100000000,46750
May,11,23:36:05,phc2sys[5121]:,-35147162263,-100000000,42554
May,11,23:36:06,phc2sys[5121]:,-35055766856,-100000000,46404
May,11,23:36:07,phc2sys[5121]:,-34963847844,-100000000,36381
May,11,23:36:08,phc2sys[5121]:,-34871069857,-100000000,40130
May,11,23:36:09,phc2sys[5121]:,-34779309299,-100000000,42370
May,11,23:36:10,phc2sys[5121]:,-34688056153,-100000000,40313
May,11,23:36:11,phc2sys[5121]:,-34595487121,-100000000,46546
May,11,23:36:12,phc2sys[5121]:,-34503413583,-100000000,45283
May,11,23:36:13,phc2sys[5121]:,-34412121919,-100000000,41291
May,11,23:36:14,phc2sys[5121]:,-34320756465,-100000000,35974
May,11,23:36:15,phc2sys[5121]:,-34229018024,-100000000,39824
May,11,23:36:16,phc2sys[5121]:,-34135213083,-100000000,46628
May,11,23:36:17,phc2sys[5121]:,-34041208801,-100000000,39478
May,11,23:36:18,phc2sys[5121]:,-33949187247,-100000000,46465
May,11,23:36:19,phc2sys[5121]:,-33857187850,-100000000,44978
May,11,23:36:20,phc2sys[5121]:,-33763261203,-100000000,41739
May,11,23:36:21,phc2sys[5121]:,-33669945863,-100000000,41413
May,11,23:36:22,phc2sys[5121]:,-33577303234,-100000000,41821
May,11,23:36:23,phc2sys[5121]:,-33485390959,-100000000,40578
May,11,23:36:24,phc2sys[5121]:,-33393944366,-100000000,39132
May,11,23:36:25,phc2sys[5121]:,-33300514255,-100000000,41413
May,11,23:36:26,phc2sys[5121]:,-33207150170,-100000000,41536
May,11,23:36:27,phc2sys[5121]:,-33114081662,-100000000,42758
May,11,23:36:28,phc2sys[5121]:,-33021365745,-100000000,42391
May,11,23:36:29,phc2sys[5121]:,-32928808050,-100000000,42655
May,11,23:36:30,phc2sys[5121]:,-32836463594,-100000000,41698
May,11,23:36:31,phc2sys[5121]:,-32744485121,-100000000,51924
May,11,23:36:32,phc2sys[5121]:,-32652525088,-100000000,46567
May,11,23:36:33,phc2sys[5121]:,-32561208345,-100000000,45874
May,11,23:36:34,phc2sys[5121]:,-32469790215,-100000000,40700
May,11,23:36:35,phc2sys[5121]:,-32378346162,-100000000,52332
May,11,23:36:36,phc2sys[5121]:,-32286683502,-100000000,42269
May,11,23:36:37,phc2sys[5121]:,-32194772680,-100000000,45955
May,11,23:36:38,phc2sys[5121]:,-32103406584,-100000000,48461
May,11,23:36:39,phc2sys[5121]:,-32011949698,-100000000,45914
May,11,23:36:40,phc2sys[5121]:,-31919496021,-100000000,39620
May,11,23:36:41,phc2sys[5121]:,-31828129331,-100000000,40150
May,11,23:36:42,phc2sys[5121]:,-31735414335,-100000000,40273
May,11,23:36:43,phc2sys[5121]:,-31641450564,-100000000,40822
May,11,23:36:45,phc2sys[5121]:,-31547951981,-100000000,45527
May,11,23:36:46,phc2sys[5121]:,-31454349995,-100000000,42003
May,11,23:36:47,phc2sys[5121]:,-31362339634,-100000000,41067
May,11,23:36:48,phc2sys[5121]:,-31268993234,-100000000,44163
May,11,23:36:49,phc2sys[5121]:,-31176261295,-100000000,46750
May,11,23:36:50,phc2sys[5121]:,-31084517915,-100000000,41210
May,11,23:36:51,phc2sys[5121]:,-30993102964,-100000000,43145
May,11,23:36:52,phc2sys[5121]:,-30901838354,-100000000,46771
May,11,23:36:53,phc2sys[5121]:,-30806715699,-100000000,42309
May,11,23:36:54,phc2sys[5121]:,-30711298026,-100000000,41494
May,11,23:36:55,phc2sys[5121]:,-30615803646,-100000000,39498
May,11,23:36:56,phc2sys[5121]:,-30524466146,-100000000,39661
May,11,23:36:57,phc2sys[5121]:,-30432449641,-100000000,45344
May,11,23:36:58,phc2sys[5121]:,-30340870435,-100000000,52209
May,11,23:36:59,phc2sys[5121]:,-30247599962,-100000000,41617
May,11,23:37:00,phc2sys[5121]:,-30155966959,-100000000,40353
May,11,23:37:01,phc2sys[5121]:,-30062031033,-100000000,46444
May,11,23:37:02,phc2sys[5121]:,-29969788748,-100000000,41127
May,11,23:37:03,phc2sys[5121]:,-29877616782,-100000000,41148
May,11,23:37:04,phc2sys[5121]:,-29785654431,-100000000,41983
May,11,23:37:05,phc2sys[5121]:,-29693459512,-100000000,46363
May,11,23:37:06,phc2sys[5121]:,-29602121736,-100000000,46038
May,11,23:37:07,phc2sys[5121]:,-29510874833,-100000000,46811
May,11,23:37:08,phc2sys[5121]:,-29419186827,-100000000,45385
May,11,23:37:09,phc2sys[5121]:,-29327990531,-100000000,47117
May,11,23:37:10,phc2sys[5121]:,-29236497444,-100000000,42166
May,11,23:37:11,phc2sys[5121]:,-29144568545,-100000000,28233
May,11,23:37:12,phc2sys[5121]:,-29052689811,-100000000,27887
May,11,23:37:13,phc2sys[5121]:,-28961324167,-100000000,28030
May,11,23:37:14,phc2sys[5121]:,-28870099140,-100000000,28111
May,11,23:37:15,phc2sys[5121]:,-28777620552,-100000000,28010
May,11,23:37:16,phc2sys[5121]:,-28685892293,-100000000,42554
May,11,23:37:17,phc2sys[5121]:,-28594091927,-100000000,42493
May,11,23:37:18,phc2sys[5121]:,-28501619313,-100000000,54002
May,11,23:37:19,phc2sys[5121]:,-28410026301,-100000000,42004
May,11,23:37:20,phc2sys[5121]:,-28318100714,-100000000,41841
May,11,23:37:21,phc2sys[5121]:,-28224107389,-100000000,44061
May,11,23:37:22,phc2sys[5121]:,-28129986726,-100000000,41189
May,11,23:37:23,phc2sys[5121]:,-28035986765,-100000000,41189
