Month, Day, Time, Unit, Offset, Freq, Path_Delay
May,12,23:48:36,ptp4l[38156]:,208,-7074,25536
May,12,23:48:36,ptp4l[38185]:,-922,-302081,16380
May,12,23:48:37,ptp4l[38185]:,364325,+62889,-54300
May,12,23:48:38,ptp4l[38185]:,295060,+102921,-54300
May,12,23:48:39,ptp4l[38185]:,114291,+10670,16380
May,12,23:48:40,ptp4l[38185]:,90173,+20840,22173
May,12,23:48:41,ptp4l[38185]:,62306,+20025,22173
May,12,23:48:42,ptp4l[38185]:,29992,+6402,26463
May,12,23:48:43,ptp4l[38185]:,16865,+2273,27215
May,12,23:48:44,ptp4l[38185]:,131361,+121829,27215
May,12,23:48:45,ptp4l[38185]:,222673,+252549,27215
May,12,23:48:46,ptp4l[38185]:,-40330,+56348,31336
May,12,23:48:47,ptp4l[38185]:,-107149,-22570,34411
May,12,23:48:48,ptp4l[38185]:,-88758,-36324,31336
May,12,23:48:49,ptp4l[38185]:,-59915,-34108,31336
May,12,23:48:50,ptp4l[38185]:,-29225,-21393,28192
May,12,23:48:51,ptp4l[38185]:,-12130,-13065,24861
May,12,23:48:52,ptp4l[38185]:,-5858,-10432,24861
May,12,23:48:53,ptp4l[38185]:,1370,-4962,20734
May,12,23:48:54,ptp4l[38185]:,-1269,-7190,20734
May,12,23:48:55,ptp4l[38185]:,-1025,-7326,20734
May,12,23:48:56,ptp4l[38185]:,-596,-7205,20236
May,12,23:48:57,ptp4l[38185]:,-382,-7170,20734
May,12,23:48:58,ptp4l[38185]:,-1277,-8179,21243
May,12,23:48:59,ptp4l[38185]:,-523,-7808,21243
May,12,23:49:00,ptp4l[38185]:,-1702,-9144,23186
May,12,23:49:01,ptp4l[38185]:,-1586,-9539,25462
May,12,23:49:02,ptp4l[38185]:,2,-8427,25462
May,12,23:49:03,ptp4l[38185]:,3300,-5128,23715
May,12,23:49:04,ptp4l[38185]:,1500,-5938,23715
May,12,23:49:05,ptp4l[38185]:,-2791,-9779,25480
May,12,23:49:06,ptp4l[38185]:,1302,-6523,25455
May,12,23:49:07,ptp4l[38185]:,497,-6938,25455
May,12,23:49:08,ptp4l[38185]:,440,-6846,25455
May,12,23:49:09,ptp4l[38185]:,408,-6746,24854
May,12,23:49:10,ptp4l[38185]:,-236,-7267,24854
