Timestamp, Temp, CPU_Usage
2024-05-12 18:55:00, 53.0, 23.1%
2024-05-12 18:55:30, 54.0, 25%
2024-05-12 18:56:00, 52.5, 25%
2024-05-12 18:56:30, 53.0, 23.1%
2024-05-12 18:57:00, 53.5, 25%
2024-05-12 18:57:30, 54.5, 23.1%
2024-05-12 18:58:00, 53.5, 25%
2024-05-12 18:58:30, 52.5, 20%
2024-05-12 18:59:00, 53.5, 18.2%
2024-05-12 18:59:30, 54.0, 16.7%
2024-05-12 19:00:00, 52.5, 25%
2024-05-12 19:00:30, 52.5, 36.4%
2024-05-12 19:01:00, 52.5, 27.3%
2024-05-12 19:01:30, 53.0, 25%
2024-05-12 19:02:00, 53.0, 16.7%
2024-05-12 19:02:30, 53.0, 20%
2024-05-12 19:03:00, 53.0, 27.3%
2024-05-12 19:03:30, 53.5, 27.3%
2024-05-12 19:04:00, 52.5, 27.3%
2024-05-12 19:04:30, 52.5, 22.2%
2024-05-12 19:05:00, 53.0, 22.2%
2024-05-12 19:05:30, 53.0, 27.3%
2024-05-12 19:06:00, 53.5, 27.3%
2024-05-12 19:06:31, 53.5, 27.3%
2024-05-12 19:07:00, 53.5, 27.3%
2024-05-12 19:07:30, 53.5, 25%
2024-05-12 19:08:00, 52.1, 27.3%
2024-05-12 19:08:30, 53.0, 27.3%
2024-05-12 19:09:00, 53.5, 30.8%
2024-05-12 19:09:30, 52.5, 25%
2024-05-12 19:10:00, 52.5, 25%
2024-05-12 19:10:30, 52.1, 25%
2024-05-12 19:11:00, 54.5, 25%
2024-05-12 19:11:30, 53.0, 18.2%
2024-05-12 19:12:00, 53.5, 18.2%
2024-05-12 19:12:30, 53.0, 27.3%
2024-05-12 19:13:00, 53.5, 30.8%
2024-05-12 19:13:30, 53.0, 25%
2024-05-12 19:14:00, 53.0, 33.3%
2024-05-12 19:14:30, 52.1, 11.1%
2024-05-12 19:15:00, 53.0, 27.3%
2024-05-12 19:15:30, 52.1, 25%
2024-05-12 19:16:00, 53.0, 18.2%
2024-05-12 19:16:30, 52.5, 22.2%
2024-05-12 19:17:00, 53.5, 27.3%
2024-05-12 19:17:30, 53.0, 27.3%
2024-05-12 19:18:00, 52.5, 25%
2024-05-12 19:18:30, 53.5, 27.3%
2024-05-12 19:19:00, 53.5, 25%
2024-05-12 19:19:30, 52.5, 18.2%
2024-05-12 19:20:00, 52.5, 27.3%
2024-05-12 19:20:30, 52.5, 33.3%
2024-05-12 19:21:00, 52.1, 27.3%
2024-05-12 19:21:30, 53.0, 42.9%
2024-05-12 19:22:00, 52.5, 18.2%
2024-05-12 19:22:30, 52.5, 30.8%
2024-05-12 19:23:00, 53.0, 18.2%
2024-05-12 19:23:30, 53.0, 20%
2024-05-12 19:24:00, 52.1, 25%
2024-05-12 19:24:30, 51.1, 20%
2024-05-12 19:25:00, 53.5, 18.2%
2024-05-12 19:25:30, 53.0, 40%
2024-05-12 19:26:00, 52.5, 33.3%
2024-05-12 19:26:30, 52.5, 27.3%
2024-05-12 19:27:00, 52.1, 25%
2024-05-12 19:27:30, 52.5, 27.3%
2024-05-12 19:28:00, 53.0, 27.3%
2024-05-12 19:28:30, 52.1, 27.3%
2024-05-12 19:29:00, 52.5, 30%
2024-05-12 19:29:30, 53.0, 30%
2024-05-12 19:30:00, 51.6, 27.3%
2024-05-12 19:30:30, 52.1, 22.2%
2024-05-12 19:31:00, 52.1, 20%
2024-05-12 19:31:30, 53.0, 27.3%
2024-05-12 19:32:00, 53.0, 22.2%
2024-05-12 19:32:30, 52.5, 27.3%
