Timestamp, Temp, CPU_Usage
2024-05-13 20:11:00, 53.5, 20%
2024-05-13 20:11:30, 53.5, 20%
2024-05-13 20:12:00, 53.0, 25%
2024-05-13 20:12:30, 54.0, 30.8%
2024-05-13 20:13:00, 52.5, 30%
2024-05-13 20:13:30, 52.5, 18.2%
2024-05-13 20:14:00, 52.5, 14.3%
2024-05-13 20:14:30, 52.5, 25%
2024-05-13 20:15:00, 53.5, 33.3%
2024-05-13 20:15:30, 53.5, 14.3%
2024-05-13 20:16:00, 52.1, 27.3%
2024-05-13 20:16:30, 53.0, 25%
2024-05-13 20:17:00, 52.1, 22.2%
2024-05-13 20:17:30, 53.5, 25%
2024-05-13 20:18:00, 53.0, 25%
2024-05-13 20:18:30, 53.0, 16.7%
2024-05-13 20:19:00, 53.0, 25%
2024-05-13 20:19:30, 54.0, 16.7%
2024-05-13 20:20:00, 53.0, 20%
2024-05-13 20:20:30, 52.5, 25%
2024-05-13 20:21:00, 53.0, 27.3%
2024-05-13 20:21:30, 53.0, 27.3%
2024-05-13 20:22:00, 53.0, 18.2%
2024-05-13 20:22:30, 53.0, 33.3%
2024-05-13 20:23:00, 53.0, 20%
2024-05-13 20:23:30, 52.1, 27.3%
2024-05-13 20:24:00, 52.5, 25%
2024-05-13 20:24:30, 53.5, 25%
2024-05-13 20:25:00, 53.5, 20%
2024-05-13 20:25:30, 53.0, 27.3%
2024-05-13 20:26:00, 52.5, 27.3%
2024-05-13 20:26:30, 53.0, 20%
2024-05-13 20:27:00, 53.0, 20%
2024-05-13 20:27:30, 53.0, 28.6%
2024-05-13 20:28:00, 53.5, 0%
2024-05-13 20:28:30, 53.5, 0%
2024-05-13 20:29:00, 52.5, 25%
2024-05-13 20:29:30, 52.5, 20%
2024-05-13 20:30:00, 53.5, 27.3%
2024-05-13 20:30:30, 53.0, 33.3%
2024-05-13 20:31:00, 53.0, 28.6%
2024-05-13 20:31:30, 53.0, 25%
2024-05-13 20:32:00, 52.1, 28.6%
2024-05-13 20:32:30, 53.0, 27.3%
2024-05-13 20:33:00, 53.5, 20%
2024-05-13 20:33:30, 52.5, 22.2%
2024-05-13 20:34:00, 53.0, 27.3%
2024-05-13 20:35:00, 53.0, 37.5%
2024-05-13 20:35:30, 53.5, 27.3%
2024-05-13 20:36:00, 53.5, 22.2%
2024-05-13 20:36:30, 54.0, 33.3%
2024-05-13 20:37:00, 52.5, 27.3%
2024-05-13 20:37:30, 52.5, 25%
2024-05-13 20:38:00, 53.0, 27.3%
2024-05-13 20:38:30, 52.5, 22.2%
2024-05-13 20:39:00, 53.0, 27.3%
2024-05-13 20:39:30, 52.5, 25%
2024-05-13 20:40:00, 53.0, 16.7%
2024-05-13 20:40:30, 52.1, 25%
2024-05-13 20:41:30, 53.0, 33.3%
2024-05-13 20:42:00, 53.0, 27.3%
2024-05-13 20:42:30, 52.5, 20%
2024-05-13 20:43:00, 52.5, 25%
2024-05-13 20:43:30, 52.1, 27.3%
2024-05-13 20:44:00, 53.0, 30%
2024-05-13 20:44:30, 53.0, 20%
2024-05-13 20:45:00, 53.5, 16.7%
2024-05-13 20:45:30, 52.5, 27.3%
2024-05-13 20:46:30, 53.0, 27.3%
2024-05-13 20:47:00, 53.0, 27.3%
2024-05-13 20:47:30, 52.5, 27.3%
2024-05-13 20:48:00, 53.0, 27.3%
2024-05-13 20:48:30, 53.0, 22.2%
2024-05-13 20:49:00, 53.5, 27.3%
2024-05-13 20:49:30, 53.5, 12.5%
2024-05-13 20:50:00, 53.5, 30%
2024-05-13 20:50:30, 52.5, 20%
2024-05-13 20:51:00, 53.5, 28.6%
2024-05-13 20:51:30, 52.5, 20%
2024-05-13 20:52:00, 53.0, 28.6%
2024-05-13 20:52:30, 53.0, 22.2%
2024-05-13 20:53:00, 52.5, 23.1%
2024-05-13 20:53:30, 54.5, 30%
2024-05-13 20:54:00, 54.0, 20%
2024-05-13 20:54:30, 52.1, 25%
2024-05-13 20:55:00, 53.0, 27.3%
2024-05-13 20:55:30, 53.0, 27.3%
2024-05-13 20:56:00, 53.5, 27.3%
2024-05-13 20:56:30, 53.0, 27.3%
2024-05-13 20:57:00, 53.5, 25%
2024-05-13 20:57:30, 53.5, 20%
2024-05-13 20:58:00, 53.0, 22.2%
2024-05-13 20:58:30, 52.5, 27.3%
2024-05-13 20:59:00, 53.0, 27.3%
2024-05-13 20:59:30, 52.5, 27.3%
2024-05-13 21:00:00, 53.5, 27.3%
2024-05-13 21:00:30, 53.5, 20%
2024-05-13 21:01:00, 52.1, 25%
