Timestamp, Offset, Jitter, Last Offset, RMS Offset, Root Delay, Root Dispersion, Sources Last Offset, Sources RMS, Sources Error
, +0ns, 4000ms, +0.000000000, 0.000000000, 1.000000000, 1.000000000, +0ns[, +0ns], 0ns
, +0ns, 4000ms, +0.000000000, 0.000000000, 1.000000000, 1.000000000, +0ns[, +0ns], 0ns
, +0ns, 4000ms, +0.000000000, 0.000000000, 1.000000000, 1.000000000, +0ns[, +0ns], 0ns
, +0ns, 4000ms, +0.000000000, 0.000000000, 1.000000000, 1.000000000, +0ns[, +0ns], 0ns
2024-05-13 15:55:30, +0ns, 4000ms, +0.000722548, 0.000722548, 0.062647045, 0.000472220, +0ns[, +/-, 
2024-05-13 15:55:30, +1961us, 4000ms, +0.000722548, 0.000722548, 0.062647045, 0.000738175, +1961us[+1961us], +/-, 
2024-05-13 15:55:30, +1961us, 4000ms, +0.000722548, 0.000722548, 0.062647045, 0.000999349, +1961us[+1961us], +/-, 
2024-05-13 15:55:30, +1961us, 4000ms, +0.000722548, 0.000722548, 0.062647045, 0.001273907, +1961us[+1961us], +/-, 
2024-05-13 15:55:30, +1961us, 4000ms, +0.000722548, 0.000722548, 0.062647045, 0.001545729, +1961us[+1961us], +/-, 
2024-05-13 15:55:30, +1961us, 4000ms, +0.000722548, 0.000722548, 0.062647045, 0.001813516, +1961us[+1961us], +/-, 
2024-05-13 15:55:30, +1961us, 4000ms, +0.000722548, 0.000722548, 0.062647045, 0.002080033, +1961us[+1961us], +/-, 
2024-05-13 15:55:30, +1961us, 4000ms, +0.000722548, 0.000722548, 0.062647045, 0.002356973, +1961us[+1961us], +/-, 
2024-05-13 15:55:30, +1961us, 4000ms, +0.000722548, 0.000722548, 0.062647045, 0.002612888, +1961us[+1961us], +/-, 
2024-05-13 15:55:30, +1961us, 4000ms, +0.000722548, 0.000722548, 0.062647045, 0.002875185, +1961us[+1961us], +/-, 
2024-05-13 15:55:30, +1961us, 4000ms, +0.000722548, 0.000722548, 0.062647045, 0.003134717, +1961us[+1961us], +/-, 
2024-05-13 15:55:30, +1961us, 4000ms, +0.000722548, 0.000722548, 0.062647045, 0.003394589, +1961us[+1961us], +/-, 
2024-05-13 15:55:30, +26ns, 812ns, +0.001961810, 0.001961810, 0.000000001, 0.000006860, +210ns[+1962us], +/-, 
2024-05-13 15:55:30, +73ns, 812ns, +0.001961810, 0.001961810, 0.000000001, 0.000008276, +210ns[+1962us], +/-, 
2024-05-13 15:55:30, +121ns, 812ns, +0.001961810, 0.001961810, 0.000000001, 0.000009711, +210ns[+1962us], +/-, 
2024-05-13 15:55:30, +171ns, 812ns, +0.001961810, 0.001961810, 0.000000001, 0.000011226, +210ns[+1962us], +/-, 
2024-05-13 15:55:30, +220ns, 812ns, +0.001961810, 0.001961810, 0.000000001, 0.000012649, +210ns[+1962us], +/-, 
2024-05-13 15:55:30, +268ns, 812ns, +0.001961810, 0.001961810, 0.000000001, 0.000014090, +210ns[+1962us], +/-, 
2024-05-13 15:55:30, -14ns, 749ns, -0.000000828, 0.001861136, 0.000000001, 0.000005787, -307ns[-1136ns], +/-, 
2024-05-13 15:55:30, -34ns, 749ns, -0.000000828, 0.001861136, 0.000000001, 0.000007198, -307ns[-1136ns], +/-, 
2024-05-13 15:55:30, -54ns, 749ns, -0.000000828, 0.001861136, 0.000000001, 0.000008606, -307ns[-1136ns], +/-, 
2024-05-13 15:56:00, -78ns, 749ns, -0.000000828, 0.001861136, 0.000000001, 0.000010282, -307ns[-1136ns], +/-, 
2024-05-13 15:56:00, -98ns, 749ns, -0.000000828, 0.001861136, 0.000000001, 0.000011711, -307ns[-1136ns], +/-, 
2024-05-13 15:56:00, -119ns, 749ns, -0.000000755, 0.001765629, 0.000000001, 0.000005345, -235ns[, -987ns], 322ns
2024-05-13 15:56:00, -50ns, 701ns, -0.000000755, 0.001765629, 0.000000001, 0.000006803, -235ns[, -987ns], 322ns
2024-05-13 15:56:00, -101ns, 701ns, -0.000000755, 0.001765629, 0.000000001, 0.000008264, -235ns[, -987ns], 322ns
2024-05-13 15:56:00, -152ns, 701ns, -0.000000755, 0.001765629, 0.000000001, 0.000009737, -235ns[, -987ns], 322ns
2024-05-13 15:56:00, -203ns, 701ns, -0.000000755, 0.001765629, 0.000000001, 0.000011203, -235ns[, -987ns], 322ns
2024-05-13 15:56:00, -260ns, 701ns, -0.000000755, 0.001765629, 0.000000001, 0.000012841, -235ns[, -987ns], 322ns
2024-05-13 15:56:00, -11ns, 607ns, -0.000000262, 0.001675023, 0.000000001, 0.000004469, +120ns[, -129ns], 320ns
2024-05-13 15:56:00, -54ns, 607ns, -0.000000262, 0.001675023, 0.000000001, 0.000005940, +120ns[, -129ns], 320ns
2024-05-13 15:56:00, -98ns, 607ns, -0.000000262, 0.001675023, 0.000000001, 0.000007436, +120ns[, -129ns], 320ns
2024-05-13 15:56:00, -140ns, 607ns, -0.000000262, 0.001675023, 0.000000001, 0.000008916, +120ns[, -129ns], 320ns
2024-05-13 15:56:00, -184ns, 607ns, -0.000000262, 0.001675023, 0.000000001, 0.000010400, +120ns[, -129ns], 320ns
2024-05-13 15:56:00, -227ns, 607ns, -0.000000262, 0.001675023, 0.000000001, 0.000011885, +120ns[, -129ns], 320ns
2024-05-13 15:56:00, -6ns, 555ns, -0.000000082, 0.001589066, 0.000000001, 0.000006015, +222ns[, +194ns], 324ns
2024-05-13 15:56:00, -21ns, 555ns, -0.000000082, 0.001589066, 0.000000001, 0.000007458, +222ns[, +194ns], 324ns
2024-05-13 15:56:00, -36ns, 555ns, -0.000000082, 0.001589066, 0.000000001, 0.000008922, +222ns[, +194ns], 324ns
2024-05-13 15:56:00, -52ns, 555ns, -0.000000082, 0.001589066, 0.000000001, 0.000010434, +222ns[, +194ns], 324ns
2024-05-13 15:56:00, -68ns, 555ns, -0.000000082, 0.001589066, 0.000000001, 0.000011935, +222ns[, +194ns], 324ns
2024-05-13 15:56:00, -83ns, 555ns, -0.000000082, 0.001589066, 0.000000001, 0.000013436, +222ns[, +194ns], 324ns
2024-05-13 15:56:00, -1ns, 513ns, -0.000000037, 0.001507520, 0.000000001, 0.000005290, +89ns[, +80ns], 477ns
2024-05-13 15:56:00, -3ns, 513ns, -0.000000037, 0.001507520, 0.000000001, 0.000006752, +89ns[, +80ns], 477ns
2024-05-13 15:56:30, -5ns, 513ns, -0.000000037, 0.001507520, 0.000000001, 0.000008489, +89ns[, +80ns], 477ns
2024-05-13 15:56:30, -6ns, 513ns, -0.000000037, 0.001507520, 0.000000001, 0.000009948, +89ns[, +80ns], 477ns
2024-05-13 15:56:30, -8ns, 513ns, -0.000000037, 0.001507520, 0.000000001, 0.000011451, +89ns[, +80ns], 477ns
2024-05-13 15:56:30, -10ns, 513ns, -0.000000037, 0.001507520, 0.000000001, 0.000012876, +89ns[, +80ns], 477ns
2024-05-13 15:56:30, +1ns, 507ns, +0.000000242, 0.001430159, 0.000000001, 0.000006654, +365ns[, +595ns], 364ns
2024-05-13 15:56:30, +1ns, 507ns, +0.000000242, 0.001430159, 0.000000001, 0.000008094, +365ns[, +595ns], 364ns
