Timestamp, Temp, CPU_Usage
2024-05-12 18:55:30, 44.3, 26.7%
2024-05-12 18:56:00, 44.8, 33.3%
2024-05-12 18:56:30, 44.3, 25%
2024-05-12 18:57:00, 44.8, 30.8%
2024-05-12 18:57:30, 44.3, 18.2%
2024-05-12 19:00:00, 44.3, 20%
2024-05-12 19:00:30, 44.8, 33.3%
2024-05-12 19:01:00, 44.8, 30.8%
2024-05-12 19:01:30, 44.8, 27.3%
2024-05-12 19:03:00, 44.3, 27.3%
2024-05-12 19:03:30, 43.3, 27.3%
2024-05-12 19:04:00, 44.3, 20%
2024-05-12 19:05:30, 44.3, 20%
2024-05-12 19:06:30, 44.3, 27.3%
2024-05-12 19:08:00, 44.3, 25%
2024-05-12 19:08:30, 44.3, 25%
2024-05-12 19:09:00, 44.8, 27.3%
2024-05-12 19:09:30, 44.3, 25%
2024-05-12 19:10:00, 44.3, 18.2%
2024-05-12 19:10:30, 44.3, 25%
2024-05-12 19:11:30, 44.8, 20%
2024-05-12 19:12:30, 44.8, 27.3%
2024-05-12 19:13:30, 43.3, 30.8%
2024-05-12 19:14:00, 43.8, 25%
2024-05-12 19:15:30, 43.3, 27.3%
2024-05-12 19:16:30, 43.8, 30.8%
2024-05-12 19:17:00, 44.3, 20%
2024-05-12 19:17:30, 44.3, 27.3%
2024-05-12 19:18:00, 43.3, 25%
2024-05-12 19:18:30, 44.8, 20%
2024-05-12 19:19:30, 43.8, 27.3%
2024-05-12 19:20:00, 43.8, 25%
2024-05-12 19:20:30, 44.8, 25%
2024-05-12 19:21:30, 44.3, 20%
2024-05-12 19:22:30, 44.3, 27.3%
2024-05-12 19:23:00, 44.3, 27.3%
2024-05-12 19:23:30, 45.2, 25%
2024-05-12 19:24:00, 43.8, 27.3%
2024-05-12 19:24:30, 44.8, 27.3%
2024-05-12 19:25:00, 44.3, 27.3%
2024-05-12 19:27:30, 44.8, 33.3%
2024-05-12 19:28:00, 44.8, 27.3%
2024-05-12 19:28:30, 43.8, 33.3%
2024-05-12 19:29:30, 43.8, 27.3%
2024-05-12 19:30:00, 43.8, 20%
2024-05-12 19:30:30, 43.3, 33.3%
2024-05-12 19:31:00, 43.8, 27.3%
2024-05-12 19:31:30, 43.8, 20%
2024-05-12 19:32:00, 43.3, 25%
2024-05-12 19:33:00, 44.3, 25%
2024-05-12 19:34:30, 43.8, 27.3%
2024-05-12 19:35:30, 44.3, 20%
2024-05-12 19:36:00, 44.3, 25%
2024-05-12 19:36:30, 44.3, 27.3%
2024-05-12 19:37:00, 42.8, 25%
2024-05-12 19:37:30, 43.3, 27.3%
2024-05-12 19:38:00, 43.8, 30.8%
2024-05-12 19:38:30, 44.3, 20%
2024-05-12 19:39:00, 44.3, 20%
2024-05-12 19:39:30, 43.8, 25%
2024-05-12 19:40:00, 43.3, 20%
2024-05-12 19:40:30, 44.3, 25%
2024-05-12 19:41:00, 43.8, 30.8%
2024-05-12 19:41:30, 42.8, 25%
2024-05-12 19:43:00, 44.3, 33.3%
2024-05-12 19:45:00, 43.8, 20%
2024-05-12 19:45:30, 43.3, 27.3%
2024-05-12 19:46:30, 44.3, 18.2%
2024-05-12 19:47:00, 42.8, 27.3%
2024-05-12 19:48:30, 44.3, 30.8%
2024-05-12 19:49:00, 44.3, 27.3%
2024-05-12 19:49:30, 42.8, 33.3%
2024-05-12 19:51:00, 42.8, 20%
2024-05-12 19:51:30, 43.3, 23.1%
2024-05-12 19:52:00, 42.8, 27.3%
2024-05-12 19:53:00, 42.8, 27.3%
2024-05-12 19:53:30, 44.8, 20%
2024-05-12 19:54:00, 43.8, 27.3%
2024-05-12 19:57:00, 43.3, 27.3%
2024-05-12 19:57:30, 43.8, 20%
2024-05-12 19:58:00, 44.3, 25%
2024-05-12 19:58:30, 43.3, 27.3%
2024-05-12 19:59:00, 43.3, 20%
2024-05-12 20:00:00, 43.8, 18.2%
2024-05-12 20:00:30, 43.8, 30.8%
2024-05-12 20:01:00, 42.8, 18.2%
2024-05-12 20:02:30, 43.3, 25%
2024-05-12 20:03:00, 42.3, 25%
2024-05-12 20:03:30, 43.3, 20%
2024-05-12 20:04:00, 42.3, 25%
2024-05-12 20:04:30, 43.3, 25%
2024-05-12 20:05:00, 44.3, 27.3%
2024-05-12 20:06:00, 43.3, 33.3%
2024-05-12 20:06:30, 44.3, 27.3%
2024-05-12 20:07:00, 43.8, 30.8%
2024-05-12 20:07:30, 43.3, 25%
2024-05-12 20:08:00, 43.3, 25%
2024-05-12 20:12:30, 42.8, 25%
2024-05-12 20:13:00, 41.8, 27.3%
2024-05-12 20:15:00, 43.8, 33.3%
2024-05-12 20:15:30, 44.3, 27.3%
2024-05-12 20:16:00, 43.8, 25%
2024-05-12 20:16:30, 43.3, 25%
2024-05-12 20:17:00, 43.3, 20%
2024-05-12 20:18:00, 43.8, 27.3%
2024-05-12 20:18:30, 43.3, 25%
2024-05-12 20:19:00, 43.3, 25%
2024-05-12 20:19:30, 43.8, 25%
2024-05-12 20:20:00, 42.3, 27.3%
2024-05-12 20:21:00, 42.8, 25%
2024-05-12 20:21:30, 42.8, 33.3%
2024-05-12 20:23:00, 43.8, 25%
2024-05-12 20:24:30, 42.8, 25%
2024-05-12 20:25:00, 43.3, 25%
2024-05-12 20:25:30, 42.8, 25%
2024-05-12 20:26:00, 43.3, 27.3%
2024-05-12 20:27:00, 44.3, 27.3%
2024-05-12 20:27:30, 42.8, 30.8%
2024-05-12 20:29:30, 43.8, 33.3%
2024-05-12 20:30:30, 41.8, 25%
2024-05-12 20:31:00, 43.8, 27.3%
2024-05-12 20:31:30, 43.8, 25%
2024-05-12 20:32:00, 43.3, 27.3%
2024-05-12 20:32:30, 43.3, 18.2%
2024-05-12 20:34:30, 43.3, 20%
2024-05-12 20:35:00, 42.8, 27.3%
2024-05-12 20:35:30, 42.8, 30.8%
2024-05-12 20:36:30, 43.8, 25%
2024-05-12 20:37:30, 42.8, 20%
