Month, Day, Time, Unit, Offset, Freq, Delay
May,11,11:20:52,phc2sys[1652]:,-28,-2076,1037
May,11,11:21:09,phc2sys[37557]:,-1104815,-2075,1037
May,11,11:21:10,phc2sys[37557]:,-1102260,+480,1037
May,11,11:21:11,phc2sys[37557]:,-97,+383,1037
May,11,11:21:12,phc2sys[37557]:,106,+557,1037
May,11,11:21:13,phc2sys[37557]:,183,+665,1037
May,11,11:21:14,phc2sys[37557]:,211,+748,1037
May,11,11:21:15,phc2sys[37557]:,103,+704,1018
May,11,11:21:16,phc2sys[37557]:,81,+713,1037
May,11,11:21:17,phc2sys[37557]:,212917,+213573,1037
May,11,11:21:18,phc2sys[37557]:,807661,+872192,1036
May,11,11:21:19,phc2sys[37557]:,544594,+851423,1036
May,11,11:21:20,phc2sys[37557]:,-182062,+288145,1037
May,11,11:21:21,phc2sys[37557]:,-643507,-227918,1037
May,11,11:21:22,phc2sys[37557]:,-655809,-433272,1037
May,11,11:21:23,phc2sys[37557]:,-413726,-387932,1056
May,11,11:21:24,phc2sys[37557]:,-138450,-236774,1037
May,11,11:21:25,phc2sys[37557]:,50646,-89213,1037
May,11,11:21:26,phc2sys[37557]:,147654,+22989,1037
May,11,11:21:27,phc2sys[37557]:,141653,+61284,1037
May,11,11:21:28,phc2sys[37557]:,104684,+66811,1037
May,11,11:21:29,phc2sys[37557]:,51870,+45402,1037
May,11,11:21:30,phc2sys[37557]:,12422,+21515,1037
May,11,11:21:31,phc2sys[37557]:,-8365,+4455,1037
May,11,11:21:32,phc2sys[37557]:,-14839,-4529,1037
May,11,11:21:33,phc2sys[37557]:,-15040,-9181,981
May,11,11:21:34,phc2sys[37557]:,-9825,-8478,982
May,11,11:21:35,phc2sys[37557]:,-4225,-5826,981
May,11,11:21:36,phc2sys[37557]:,-778,-3646,982
May,11,11:21:37,phc2sys[37557]:,639,-2463,981
May,11,11:21:38,phc2sys[37557]:,1124,-1786,1037
May,11,11:21:39,phc2sys[37557]:,884,-1689,1037
May,11,11:21:40,phc2sys[37557]:,499,-1809,1037
May,11,11:21:41,phc2sys[37557]:,159,-1999,1037
May,11,11:21:42,phc2sys[37557]:,-12,-2122,1037
May,11,11:21:43,phc2sys[37557]:,-87,-2201,1037
May,11,11:21:44,phc2sys[37557]:,-130,-2270,1055
May,11,11:21:45,phc2sys[37557]:,-44,-2223,1055
May,11,11:21:46,phc2sys[37557]:,-58,-2250,1055
May,11,11:21:47,phc2sys[37557]:,103,-2106,1037
May,11,11:21:48,phc2sys[37557]:,44,-2135,1037
May,11,11:21:49,phc2sys[37557]:,23,-2142,1037
May,11,11:21:50,phc2sys[37557]:,17,-2141,1037
May,11,11:21:51,phc2sys[37557]:,-53,-2206,1037
May,11,11:21:52,phc2sys[37557]:,-70,-2239,1037
May,11,11:21:53,phc2sys[37557]:,19,-2171,1037
May,11,11:21:54,phc2sys[37557]:,17,-2168,1055
May,11,11:21:55,phc2sys[37557]:,-3,-2182,1037
May,11,11:21:56,phc2sys[37557]:,-20,-2200,1037
May,11,11:21:57,phc2sys[37557]:,1,-2185,1037
May,11,11:21:58,phc2sys[37557]:,15,-2171,1037
May,11,11:21:59,phc2sys[37557]:,-5,-2187,1037
May,11,11:22:00,phc2sys[37557]:,23,-2160,1037
May,11,11:22:01,phc2sys[37557]:,36,-2140,1037
May,11,11:22:02,phc2sys[37557]:,-3,-2168,1037
May,11,11:22:03,phc2sys[37557]:,13,-2153,1037
May,11,11:22:04,phc2sys[37557]:,-57,-2219,1037
May,11,11:22:05,phc2sys[37557]:,-12,-2191,1037
May,11,11:22:06,phc2sys[37557]:,-7,-2190,1037
May,11,11:22:07,phc2sys[37557]:,18,-2167,1037
May,11,11:22:08,phc2sys[37557]:,-25,-2205,1037
May,11,11:22:09,phc2sys[37557]:,47,-2140,1037
May,11,11:22:10,phc2sys[37557]:,1,-2172,1037
May,11,11:22:11,phc2sys[37557]:,-49,-2222,1037
May,11,11:22:12,phc2sys[37557]:,46,-2142,1037
May,11,11:22:13,phc2sys[37557]:,-7,-2181,1037
May,11,11:22:14,phc2sys[37557]:,18,-2158,1037
May,11,11:22:15,phc2sys[37557]:,-16,-2186,1037
May,11,11:22:16,phc2sys[37557]:,-7,-2182,1037
May,11,11:22:17,phc2sys[37557]:,-16,-2193,1037
May,11,11:22:18,phc2sys[37557]:,-30,-2212,1037
May,11,11:22:19,phc2sys[37557]:,23,-2168,1037
May,11,11:22:20,phc2sys[37557]:,-27,-2211,1037
May,11,11:22:21,phc2sys[37557]:,-1,-2193,1037
May,11,11:22:22,phc2sys[37557]:,52,-2141,1037
May,11,11:22:23,phc2sys[37557]:,27,-2150,1037
May,11,11:22:24,phc2sys[37557]:,-5,-2174,1037
May,11,11:22:25,phc2sys[37557]:,-2,-2172,1037
May,11,11:22:26,phc2sys[37557]:,14,-2157,1037
May,11,11:22:27,phc2sys[37557]:,26,-2141,1037
May,11,11:22:28,phc2sys[37557]:,18,-2141,1055
May,11,11:22:29,phc2sys[37557]:,-42,-2196,1037
May,11,11:22:30,phc2sys[37557]:,-3,-2169,1018
May,11,11:22:31,phc2sys[37557]:,-67,-2234,1037
May,11,11:22:32,phc2sys[37557]:,12,-2175,1037
May,11,11:22:33,phc2sys[37557]:,54,-2130,1037
May,11,11:22:34,phc2sys[37557]:,71,-2096,1037
May,11,11:22:35,phc2sys[37557]:,6,-2140,1037
May,11,11:22:36,phc2sys[37557]:,-34,-2178,1037
May,11,11:22:37,phc2sys[37557]:,-41,-2196,1037
May,11,11:22:38,phc2sys[37557]:,-50,-2217,1037
May,11,11:22:39,phc2sys[37557]:,17,-2165,1037
May,11,11:22:40,phc2sys[37557]:,25,-2152,1037
May,11,11:22:41,phc2sys[37557]:,66,-2103,1037
May,11,11:22:42,phc2sys[37557]:,23,-2126,1037
May,11,11:22:43,phc2sys[37557]:,-53,-2196,1037
May,11,11:22:44,phc2sys[37557]:,-23,-2181,1037
May,11,11:22:45,phc2sys[37557]:,-24,-2189,1037
May,11,11:22:46,phc2sys[37557]:,40,-2133,1037
May,11,11:22:47,phc2sys[37557]:,28,-2133,1037
May,11,11:22:48,phc2sys[37557]:,1,-2151,1037
May,11,11:22:49,phc2sys[37557]:,63,-2089,1037
May,11,11:22:50,phc2sys[37557]:,-18,-2151,1037
May,11,11:22:51,phc2sys[37557]:,15,-2123,1037
May,11,11:22:52,phc2sys[37557]:,5,-2129,1037
May,11,11:22:53,phc2sys[37557]:,-58,-2190,1037
May,11,11:22:54,phc2sys[37557]:,-4,-2154,1019
