Month, Day, Time, Unit, Offset, Freq, Path_Delay
May,11,19:45:32,ptp4l[1075]:,-37516395569,+0,31951
May,11,19:45:33,ptp4l[1075]:,-37516442470,-46902,29663
May,11,19:45:34,ptp4l[1075]:,-3647,-50549,29663
May,11,19:45:35,ptp4l[1075]:,-2294,-50290,29663
May,11,19:45:36,ptp4l[1075]:,6410,-42275,22040
May,11,19:45:37,ptp4l[1075]:,1275,-45487,20261
May,11,19:45:38,ptp4l[1075]:,-2427,-48806,20261
May,11,19:45:39,ptp4l[1075]:,-2726,-49833,20192
May,11,19:45:40,ptp4l[1075]:,-391,-48316,18554
May,11,19:45:41,ptp4l[1075]:,-1240,-49282,18554
May,11,19:45:42,ptp4l[1075]:,555,-47859,16916
May,11,19:45:43,ptp4l[1075]:,-129044,-177292,16916
May,11,19:45:44,ptp4l[1075]:,-157967,-244928,18554
May,11,19:45:45,ptp4l[1075]:,-20672,-155023,18554
May,11,19:45:46,ptp4l[1075]:,94054,-46499,16769
May,11,19:45:47,ptp4l[1075]:,116821,+4484,16700
May,11,19:45:48,ptp4l[1075]:,86993,+9703,16874
May,11,19:45:49,ptp4l[1075]:,45285,-5907,16874
May,11,19:45:50,ptp4l[1075]:,12760,-24847,16874
May,11,19:45:51,ptp4l[1075]:,-4683,-38462,16876
May,11,19:45:52,ptp4l[1075]:,-11645,-46829,17709
May,11,19:45:53,ptp4l[1075]:,-10984,-49661,17709
May,11,19:45:54,ptp4l[1075]:,-8152,-50124,17709
May,11,19:45:55,ptp4l[1075]:,-4054,-48472,16749
May,11,19:45:56,ptp4l[1075]:,-2505,-48139,16749
May,11,19:45:57,ptp4l[1075]:,-1215,-47601,16827
May,11,19:45:58,ptp4l[1075]:,-340,-47090,16863
May,11,19:45:59,ptp4l[1075]:,172,-46680,16863
May,11,19:46:00,ptp4l[1075]:,388,-46413,16849
May,11,19:46:01,ptp4l[1075]:,348,-46336,16849
May,11,19:46:02,ptp4l[1075]:,214,-46366,16849
May,11,19:46:03,ptp4l[1075]:,105,-46411,16849
May,11,19:46:04,ptp4l[1075]:,68,-46416,16849
May,11,19:46:05,ptp4l[1075]:,-67,-46531,16915
May,11,19:46:06,ptp4l[1075]:,10,-46474,16915
May,11,19:46:07,ptp4l[1075]:,12,-46469,16915
May,11,19:46:08,ptp4l[1075]:,-7,-46484,16915
May,11,19:46:09,ptp4l[1075]:,-45,-46524,16915
May,11,19:46:10,ptp4l[1075]:,26,-46467,16915
May,11,19:46:11,ptp4l[1075]:,26,-46459,16901
May,11,19:46:12,ptp4l[1075]:,8,-46469,16901
May,11,19:46:13,ptp4l[1075]:,10,-46465,16901
May,11,19:46:14,ptp4l[1075]:,40,-46432,16899
May,11,19:46:15,ptp4l[1075]:,-10,-46470,16899
May,11,19:46:16,ptp4l[1075]:,-71,-46534,16899
May,11,19:46:17,ptp4l[1075]:,-97,-46581,16899
May,11,19:46:18,ptp4l[1075]:,-53,-46566,16899
May,11,19:46:19,ptp4l[1075]:,-13,-46542,16901
May,11,19:46:20,ptp4l[1075]:,-19,-46552,16902
May,11,19:46:21,ptp4l[1075]:,-11,-46550,16902
May,11,19:46:22,ptp4l[1075]:,18,-46524,16903
May,11,19:46:23,ptp4l[1075]:,71,-46466,16902
May,11,19:46:24,ptp4l[1075]:,-27,-46542,16902
May,11,19:46:25,ptp4l[1075]:,-49,-46572,16902
May,11,19:46:26,ptp4l[1075]:,-79,-46617,16902
May,11,19:46:27,ptp4l[1075]:,-13,-46575,16902
May,11,19:46:28,ptp4l[1075]:,-10,-46576,16902
May,11,19:46:29,ptp4l[1075]:,-2,-46571,16902
May,11,19:46:30,ptp4l[1075]:,29,-46540,16901
May,11,19:46:31,ptp4l[1075]:,-278,-46839,16902
May,11,19:46:32,ptp4l[1075]:,-727,-47371,16905
May,11,19:46:33,ptp4l[1075]:,-668,-47530,16911
May,11,19:46:34,ptp4l[1075]:,3,-47060,16911
May,11,19:46:35,ptp4l[1075]:,542,-46520,16911
May,11,19:46:36,ptp4l[1075]:,642,-46257,16907
May,11,19:46:37,ptp4l[1075]:,485,-46221,16907
May,11,19:46:38,ptp4l[1075]:,194,-46367,16912
May,11,19:46:39,ptp4l[1075]:,-71,-46574,16912
May,11,19:46:40,ptp4l[1075]:,-296,-46820,16922
May,11,19:46:41,ptp4l[1075]:,-361,-46974,16922
May,11,19:46:42,ptp4l[1075]:,-201,-46922,16913
May,11,19:46:43,ptp4l[1075]:,-131,-46912,16913
May,11,19:46:44,ptp4l[1075]:,40,-46781,16906
May,11,19:46:45,ptp4l[1075]:,188,-46621,16898
May,11,19:46:46,ptp4l[1075]:,226,-46526,16898
May,11,19:46:47,ptp4l[1075]:,129,-46556,16898
May,11,19:46:48,ptp4l[1075]:,-26,-46672,16898
May,11,19:46:49,ptp4l[1075]:,-65,-46719,16898
May,11,19:46:50,ptp4l[1075]:,-103,-46776,16898
May,11,19:46:51,ptp4l[1075]:,-38,-46742,16895
May,11,19:46:52,ptp4l[1075]:,27,-46688,16886
May,11,19:46:53,ptp4l[1075]:,32,-46675,16895
May,11,19:46:54,ptp4l[1075]:,61,-46637,16895
May,11,19:46:55,ptp4l[1075]:,101,-46578,16891
May,11,19:46:56,ptp4l[1075]:,121,-46528,16896
May,11,19:46:57,ptp4l[1075]:,125,-46488,16896
May,11,19:46:58,ptp4l[1075]:,50,-46525,16900
May,11,19:46:59,ptp4l[1075]:,19,-46541,16900
May,11,19:47:00,ptp4l[1075]:,-52,-46607,16902
May,11,19:47:01,ptp4l[1075]:,-24,-46594,16902
May,11,19:47:02,ptp4l[1075]:,-57,-46634,16903
May,11,19:47:03,ptp4l[1075]:,-84,-46679,16907
May,11,19:47:04,ptp4l[1075]:,1,-46619,16905
May,11,19:47:05,ptp4l[1075]:,50,-46569,16899
May,11,19:47:06,ptp4l[1075]:,38,-46566,16899
May,11,19:47:07,ptp4l[1075]:,-3,-46596,16899
May,11,19:47:08,ptp4l[1075]:,-34,-46628,16899
May,11,19:47:09,ptp4l[1075]:,-99,-46703,16902
May,11,19:47:10,ptp4l[1075]:,-98,-46732,16902
May,11,19:47:11,ptp4l[1075]:,-86,-46749,16902
May,11,19:47:12,ptp4l[1075]:,-18,-46707,16901
May,11,19:47:13,ptp4l[1075]:,38,-46656,16898
May,11,19:47:14,ptp4l[1075]:,92,-46591,16898
May,11,19:47:15,ptp4l[1075]:,7,-46648,16901
