Timestamp, Temp, CPU_Usage
2024-05-12 19:49:00, 42.8, 0%
2024-05-12 19:49:30, 42.2, 33.3%
2024-05-12 19:50:00, 42.8, 33.3%
2024-05-12 19:50:30, 42.2, 0%
2024-05-12 19:51:00, 42.8, 33.3%
2024-05-12 19:51:30, 43.3, 33.3%
2024-05-12 19:52:00, 42.8, 0%
2024-05-12 19:52:30, 42.8, 50%
2024-05-12 19:53:00, 43.3, 33.3%
2024-05-12 19:53:30, 42.2, 0%
2024-05-12 19:54:00, 41.7, 33.3%
2024-05-12 19:54:30, 42.2, 50%
2024-05-12 19:55:00, 42.2, 33.3%
2024-05-12 19:55:30, 41.7, 33.3%
2024-05-12 19:56:00, 42.2, 25%
2024-05-12 19:56:30, 42.2, 0%
2024-05-12 19:57:00, 42.2, 0%
2024-05-12 19:57:30, 41.7, 33.3%
2024-05-12 19:58:00, 41.7, 0%
2024-05-12 19:58:30, 41.1, 0%
2024-05-12 19:59:00, 41.7, 0%
2024-05-12 19:59:30, 41.1, 50%
2024-05-12 20:00:00, 42.2, 0%
2024-05-12 20:00:30, 41.7, 25%
2024-05-12 20:01:00, 42.2, 0%
2024-05-12 20:01:30, 42.2, 33.3%
2024-05-12 20:02:00, 42.2, 40%
2024-05-12 20:02:30, 42.2, 25%
2024-05-12 20:03:00, 42.2, 25%
2024-05-12 20:03:30, 41.1, 0%
2024-05-12 20:04:00, 42.8, 0%
2024-05-12 20:04:30, 41.7, 0%
2024-05-12 20:05:00, 42.8, 33.3%
2024-05-12 20:05:30, 41.7, 0%
2024-05-12 20:06:00, 42.2, 25%
2024-05-12 20:06:30, 42.8, 40%
2024-05-12 20:07:00, 42.2, 0%
2024-05-12 20:07:30, 42.2, 25%
2024-05-12 20:08:00, 41.7, 0%
2024-05-12 20:08:30, 41.7, 0%
2024-05-12 20:09:00, 42.2, 33.3%
2024-05-12 20:09:30, 42.2, 33.3%
2024-05-12 20:10:00, 42.2, 25%
2024-05-12 20:10:30, 42.2, 33.3%
2024-05-12 20:11:00, 42.8, 50%
2024-05-12 20:11:30, 42.2, 0%
2024-05-12 20:12:00, 42.2, 0%
2024-05-12 20:12:30, 42.2, 33.3%
2024-05-12 20:13:00, 42.2, 33.3%
2024-05-12 20:13:30, 42.2, 33.3%
2024-05-12 20:14:00, 42.8, 33.3%
2024-05-12 20:14:30, 41.1, 0%
2024-05-12 20:15:00, 43.3, 33.3%
2024-05-12 20:15:30, 42.8, 0%
2024-05-12 20:16:00, 42.8, 25%
2024-05-12 20:16:30, 42.2, 33.3%
2024-05-12 20:17:00, 41.7, 0%
2024-05-12 20:17:30, 42.8, 33.3%
2024-05-12 20:18:00, 42.2, 33.3%
2024-05-12 20:18:30, 42.2, 0%
2024-05-12 20:19:00, 42.2, 33.3%
2024-05-12 20:19:30, 42.2, 25%
2024-05-12 20:20:00, 41.7, 25%
2024-05-12 20:20:30, 42.2, 33.3%
2024-05-12 20:21:00, 42.8, 33.3%
2024-05-12 20:21:30, 42.8, 0%
2024-05-12 20:22:00, 42.8, 33.3%
2024-05-12 20:22:30, 42.8, 33.3%
2024-05-12 20:23:00, 42.2, 33.3%
2024-05-12 20:23:30, 42.2, 0%
2024-05-12 20:24:00, 42.2, 0%
