Month, Day, Time, Unit, Offset, Freq, Delay
May,13,16:05:27,phc2sys[216900]:,7,-44921,1000
May,13,16:05:35,phc2sys[216915]:,-623154,-44919,999
May,13,16:05:36,phc2sys[216915]:,-119854,+458101,999
May,13,16:05:37,phc2sys[216915]:,108,+458209,1055
May,13,16:05:38,phc2sys[216915]:,-336722,+121411,1055
May,13,16:05:39,phc2sys[216915]:,-503123,-146006,981
May,13,16:05:40,phc2sys[216915]:,-401994,-195814,1000
May,13,16:05:41,phc2sys[216915]:,-251122,-165540,982
May,13,16:05:42,phc2sys[216915]:,-130490,-120245,1000
May,13,16:05:43,phc2sys[216915]:,-55175,-84077,981
May,13,16:05:44,phc2sys[216915]:,-16034,-61488,1037
May,13,16:05:45,phc2sys[216915]:,511,-49754,1000
May,13,16:05:46,phc2sys[216915]:,5370,-44741,981
May,13,16:05:47,phc2sys[216915]:,5158,-43342,1000
May,13,16:05:48,phc2sys[216915]:,3603,-43350,982
May,13,16:05:49,phc2sys[216915]:,2043,-43829,1000
May,13,16:05:50,phc2sys[216915]:,919,-44340,1000
May,13,16:05:51,phc2sys[216915]:,-448763,-493746,1000
May,13,16:05:52,phc2sys[216915]:,-94939,-274551,1000
May,13,16:05:53,phc2sys[216915]:,134722,-73372,981
May,13,16:05:54,phc2sys[216915]:,163196,-4481,1000
May,13,16:05:55,phc2sys[216915]:,122721,+4002,981
May,13,16:05:56,phc2sys[216915]:,73791,-8111,1000
May,13,16:05:57,phc2sys[216915]:,37002,-22763,1000
May,13,16:05:58,phc2sys[216915]:,14833,-33831,1000
May,13,16:05:59,phc2sys[216915]:,3720,-40494,1000
May,13,16:06:00,phc2sys[216915]:,-740,-43838,1037
May,13,16:06:01,phc2sys[216915]:,-1789,-45109,1038
May,13,16:06:02,phc2sys[216915]:,-1632,-45489,1000
May,13,16:06:03,phc2sys[216915]:,-1084,-45431,981
May,13,16:06:04,phc2sys[216915]:,-574,-45246,981
May,13,16:06:05,phc2sys[216915]:,-254,-45098,982
May,13,16:06:06,phc2sys[216915]:,-78,-44998,982
May,13,16:06:07,phc2sys[216915]:,-167,-45111,981
May,13,16:06:08,phc2sys[216915]:,-77,-45071,981
May,13,16:06:09,phc2sys[216915]:,-71,-45088,981
May,13,16:06:10,phc2sys[216915]:,-21,-45059,982
May,13,16:06:11,phc2sys[216915]:,-37,-45082,981
May,13,16:06:12,phc2sys[216915]:,-44,-45100,1055
May,13,16:06:13,phc2sys[216915]:,16,-45053,1037
May,13,16:06:14,phc2sys[216915]:,-57,-45121,1000
May,13,16:06:15,phc2sys[216915]:,79,-45002,981
May,13,16:06:16,phc2sys[216915]:,32,-45025,981
May,13,16:06:17,phc2sys[216915]:,35,-45013,982
May,13,16:06:18,phc2sys[216915]:,96,-44941,982
May,13,16:06:19,phc2sys[216915]:,-27,-45036,1000
May,13,16:06:20,phc2sys[216915]:,67,-44950,1000
May,13,16:06:21,phc2sys[216915]:,-19,-45016,1000
May,13,16:06:22,phc2sys[216915]:,30,-44972,981
May,13,16:06:23,phc2sys[216915]:,-17,-45010,1000
May,13,16:06:24,phc2sys[216915]:,-55,-45053,981
May,13,16:06:25,phc2sys[216915]:,-20,-45035,981
May,13,16:06:26,phc2sys[216915]:,-15,-45036,1000
May,13,16:06:27,phc2sys[216915]:,-9,-45034,1000
May,13,16:06:28,phc2sys[216915]:,45,-44983,1000
May,13,16:06:29,phc2sys[216915]:,-21,-45036,1037
May,13,16:06:30,phc2sys[216915]:,10,-45011,1000
May,13,16:06:31,phc2sys[216915]:,52,-44966,1000
May,13,16:06:32,phc2sys[216915]:,31,-44971,1000
May,13,16:06:33,phc2sys[216915]:,15,-44978,1000
May,13,16:06:34,phc2sys[216915]:,51,-44937,981
May,13,16:06:35,phc2sys[216915]:,20,-44953,1037
May,13,16:06:36,phc2sys[216915]:,-1,-44968,1037
May,13,16:06:37,phc2sys[216915]:,-14,-44981,1037
May,13,16:06:38,phc2sys[216915]:,-24,-44996,1000
May,13,16:06:39,phc2sys[216915]:,-1562,-46541,982
May,13,16:06:40,phc2sys[216915]:,-343,-45790,1000
May,13,16:06:41,phc2sys[216915]:,499,-45051,981
May,13,16:06:42,phc2sys[216915]:,627,-44774,1000
May,13,16:06:43,phc2sys[216915]:,485,-44728,1000
May,13,16:06:44,phc2sys[216915]:,292,-44775,981
May,13,16:06:45,phc2sys[216915]:,159,-44820,981
May,13,16:06:46,phc2sys[216915]:,117,-44815,1000
May,13,16:06:47,phc2sys[216915]:,-36,-44933,1000
May,13,16:06:48,phc2sys[216915]:,-92,-44999,1055
May,13,16:06:49,phc2sys[216915]:,-91,-45026,981
May,13,16:06:50,phc2sys[216915]:,-87,-45049,982
May,13,16:06:51,phc2sys[216915]:,12,-44976,1000
May,13,16:06:52,phc2sys[216915]:,97,-44888,981
May,13,16:06:53,phc2sys[216915]:,71,-44885,981
May,13,16:06:54,phc2sys[216915]:,63,-44871,1037
May,13,16:06:55,phc2sys[216915]:,-9,-44925,981
May,13,16:06:56,phc2sys[216915]:,-67,-44985,1000
May,13,16:06:57,phc2sys[216915]:,-74,-45012,982
May,13,16:06:58,phc2sys[216915]:,-32,-44993,1000
May,13,16:06:59,phc2sys[216915]:,-9,-44979,1000
May,13,16:07:00,phc2sys[216915]:,70,-44903,1037
May,13,16:07:01,phc2sys[216915]:,31,-44921,981
May,13,16:07:02,phc2sys[216915]:,7,-44936,1000
May,13,16:07:03,phc2sys[216915]:,43,-44897,981
May,13,16:07:04,phc2sys[216915]:,-15,-44943,1000
May,13,16:07:05,phc2sys[216915]:,33,-44899,981
May,13,16:07:06,phc2sys[216915]:,-34,-44956,1037
May,13,16:07:07,phc2sys[216915]:,-21,-44953,1000
May,13,16:07:08,phc2sys[216915]:,26,-44913,982
May,13,16:07:09,phc2sys[216915]:,-14,-44945,982
May,13,16:07:10,phc2sys[216915]:,3,-44932,1000
May,13,16:07:11,phc2sys[216915]:,34,-44900,981
May,13,16:07:12,phc2sys[216915]:,17,-44907,1055
May,13,16:07:13,phc2sys[216915]:,13,-44906,1000
May,13,16:07:14,phc2sys[216915]:,0,-44915,981
May,13,16:07:15,phc2sys[216915]:,-10,-44925,1000
May,13,16:07:16,phc2sys[216915]:,11,-44907,981
May,13,16:07:17,phc2sys[216915]:,-18,-44933,981
May,13,16:07:18,phc2sys[216915]:,22,-44898,1037
May,13,16:07:19,phc2sys[216915]:,16,-44897,981
May,13,16:07:20,phc2sys[216915]:,52,-44857,981
May,13,16:07:21,phc2sys[216915]:,21,-44872,981
May,13,16:07:22,phc2sys[216915]:,21,-44866,981
May,13,16:07:23,phc2sys[216915]:,-37,-44917,981
May,13,16:07:24,phc2sys[216915]:,-29,-44921,1037
May,13,16:07:25,phc2sys[216915]:,-14,-44914,1000
May,13,16:07:26,phc2sys[216915]:,-24,-44928,981
May,13,16:07:27,phc2sys[216915]:,15,-44897,1000
May,13,16:07:28,phc2sys[216915]:,-23,-44930,982
May,13,16:07:29,phc2sys[216915]:,30,-44884,981
May,13,16:07:30,phc2sys[216915]:,25,-44880,1037
May,13,16:07:31,phc2sys[216915]:,15,-44883,981
