Timestamp, Temp, CPU_Usage
2024-05-10 17:20:00, 45.0, 0%
2024-05-10 17:20:30, 44.4, 0%
2024-05-10 17:21:00, 45.0, 33.3%
2024-05-10 17:21:30, 45.5, 33.3%
2024-05-10 17:22:00, 45.0, 33.3%
2024-05-10 17:22:30, 45.0, 33.3%
2024-05-10 17:23:00, 44.4, 33.3%
2024-05-10 17:23:30, 45.5, 33.3%
2024-05-10 17:24:00, 43.9, 33.3%
2024-05-10 17:24:30, 43.3, 33.3%
2024-05-10 17:25:00, 45.0, 50%
2024-05-10 17:25:30, 44.4, 50%
2024-05-10 17:26:00, 44.4, 66.7%
2024-05-10 17:26:30, 45.5, 50%
2024-05-10 17:27:00, 45.5, 75%
2024-05-10 17:27:30, 45.5, 33.3%
2024-05-10 17:28:00, 44.4, 50%
2024-05-10 17:28:30, 46.6, 33.3%
2024-05-10 17:29:00, 46.6, 0%
2024-05-10 17:29:30, 45.0, 0%
2024-05-10 17:30:00, 46.1, 0%
2024-05-10 17:30:30, 45.5, 0%
2024-05-10 17:31:00, 46.6, 50%
2024-05-10 17:31:30, 45.0, 0%
2024-05-10 17:32:00, 45.0, 0%
2024-05-10 17:32:30, 45.0, 33.3%
2024-05-10 17:33:00, 45.0, 0%
2024-05-10 17:33:30, 45.5, 33.3%
2024-05-10 17:34:00, 44.4, 0%
2024-05-10 17:34:30, 45.5, 33.3%
2024-05-10 17:35:00, 45.0, 33.3%
2024-05-10 17:35:30, 45.0, 50%
2024-05-10 17:36:00, 45.5, 0%
2024-05-10 17:36:30, 44.4, 33.3%
2024-05-10 17:37:00, 44.4, 33.3%
2024-05-10 17:37:30, 45.0, 0%
2024-05-10 17:38:00, 45.0, 0%
2024-05-10 17:38:30, 46.6, 50%
2024-05-10 17:39:00, 45.0, 33.3%
2024-05-10 17:39:30, 46.1, 50%
2024-05-10 17:40:00, 45.0, 0%
2024-05-10 17:40:30, 45.5, 0%
2024-05-10 17:41:00, 45.0, 50%
2024-05-10 17:41:30, 46.6, 33.3%
2024-05-10 17:42:00, 45.5, 0%
2024-05-10 17:42:30, 44.4, 0%
2024-05-10 17:43:00, 44.4, 0%
2024-05-10 17:43:30, 45.0, 50%
2024-05-10 17:44:00, 44.4, 50%
2024-05-10 17:44:30, 44.4, 0%
2024-05-10 17:45:00, 44.4, 0%
2024-05-10 17:45:30, 46.1, 33.3%
2024-05-10 17:46:00, 45.5, 50%
2024-05-10 17:46:30, 45.0, 0%
2024-05-10 17:47:00, 44.4, 50%
2024-05-10 17:47:30, 46.1, 33.3%
2024-05-10 17:48:00, 44.4, 50%
2024-05-10 17:48:30, 46.1, 0%
2024-05-10 17:49:00, 44.4, 33.3%
2024-05-10 17:49:30, 45.0, 0%
2024-05-10 17:50:00, 44.4, 0%
2024-05-10 17:50:30, 43.9, 50%
2024-05-10 17:51:00, 43.3, 33.3%
2024-05-10 17:51:30, 43.9, 33.3%
2024-05-10 17:52:00, 43.9, 0%
2024-05-10 17:52:30, 44.4, 33.3%
2024-05-10 17:53:00, 44.4, 33.3%
2024-05-10 17:53:30, 43.9, 0%
2024-05-10 17:54:00, 42.8, 0%
2024-05-10 17:54:30, 43.3, 0%
2024-05-10 17:55:00, 44.4, 0%
2024-05-10 17:55:30, 44.4, 0%
2024-05-10 17:56:00, 43.3, 33.3%
2024-05-10 17:56:30, 42.8, 0%
2024-05-10 17:57:00, 43.3, 50%
2024-05-10 17:57:30, 42.8, 0%
2024-05-10 17:58:00, 43.3, 33.3%
2024-05-10 17:58:30, 42.8, 0%
2024-05-10 17:59:00, 42.2, 33.3%
2024-05-10 17:59:30, 43.9, 0%
2024-05-10 18:00:00, 42.8, 0%
2024-05-10 18:00:30, 42.2, 0%
2024-05-10 18:01:00, 43.9, 33.3%
2024-05-10 18:01:30, 42.2, 33.3%
2024-05-10 18:02:00, 42.8, 0%
2024-05-10 18:02:30, 42.8, 33.3%
2024-05-10 18:03:00, 44.4, 50%
2024-05-10 18:03:30, 42.8, 0%
2024-05-10 18:04:00, 42.8, 50%
2024-05-10 18:04:30, 43.3, 33.3%
2024-05-10 18:05:00, 42.8, 33.3%
2024-05-10 18:05:30, 42.2, 33.3%
2024-05-10 18:06:00, 42.8, 0%
2024-05-10 18:06:30, 42.2, 0%
2024-05-10 18:07:00, 41.7, 50%
2024-05-10 18:07:30, 42.8, 33.3%
2024-05-10 18:08:00, 42.2, 33.3%
2024-05-10 18:08:30, 43.9, 0%
2024-05-10 18:09:00, 42.8, 0%
2024-05-10 18:09:30, 42.2, 33.3%
2024-05-10 18:10:00, 43.3, 0%
2024-05-10 18:10:30, 42.8, 0%
2024-05-10 18:11:00, 41.7, 0%
2024-05-10 18:11:30, 42.8, 0%
2024-05-10 18:12:00, 42.8, 0%
2024-05-10 18:12:30, 43.9, 0%
2024-05-10 18:13:00, 43.3, 0%
2024-05-10 18:13:30, 44.4, 0%
2024-05-10 18:14:00, 42.8, 50%
2024-05-10 18:14:30, 43.3, 0%
2024-05-10 18:15:00, 43.3, 33.3%
2024-05-10 18:15:30, 43.3, 66.7%
2024-05-10 18:16:00, 43.9, 0%
2024-05-10 18:16:30, 43.3, 0%
2024-05-10 18:17:00, 42.8, 50%
2024-05-10 18:17:30, 42.2, 33.3%
2024-05-10 18:18:00, 43.9, 33.3%
2024-05-10 18:18:30, 42.2, 33.3%
2024-05-10 18:19:00, 43.9, 50%
2024-05-10 18:19:30, 41.7, 0%
2024-05-10 18:20:00, 42.2, 0%
2024-05-10 18:20:30, 42.2, 50%
2024-05-10 18:21:00, 42.2, 50%
2024-05-10 18:21:30, 42.2, 50%
2024-05-10 18:22:00, 43.3, 33.3%
2024-05-10 18:22:30, 42.2, 0%
2024-05-10 18:23:00, 41.7, 0%
2024-05-10 18:23:30, 41.7, 0%
2024-05-10 18:24:00, 41.7, 0%
2024-05-10 18:24:30, 42.2, 0%
2024-05-10 18:25:00, 41.1, 0%
2024-05-10 18:25:30, 42.8, 0%
2024-05-10 18:26:00, 43.3, 33.3%
2024-05-10 18:26:30, 42.2, 0%
2024-05-10 18:27:00, 42.2, 0%
2024-05-10 18:27:30, 43.3, 0%
2024-05-10 18:28:00, 42.2, 33.3%
2024-05-10 18:28:30, 42.8, 0%
2024-05-10 18:29:00, 41.7, 0%
2024-05-10 18:29:30, 42.8, 0%
2024-05-10 18:30:00, 43.3, 0%
2024-05-10 18:30:30, 42.2, 0%
2024-05-10 18:31:00, 42.2, 0%
2024-05-10 18:31:30, 43.9, 33.3%
2024-05-10 18:32:00, 42.2, 0%
2024-05-10 18:32:30, 43.9, 0%
2024-05-10 18:33:00, 41.1, 0%
2024-05-10 18:33:30, 43.3, 0%
2024-05-10 18:34:00, 41.7, 0%
2024-05-10 18:34:30, 41.1, 50%
2024-05-10 18:35:00, 42.8, 50%
2024-05-10 18:35:30, 42.2, 50%
2024-05-10 18:36:00, 42.8, 50%
2024-05-10 18:36:30, 43.9, 50%
2024-05-10 18:37:00, 43.9, 50%
2024-05-10 18:37:30, 43.9, 0%
2024-05-10 18:38:00, 44.4, 0%
2024-05-10 18:38:30, 45.0, 33.3%
2024-05-10 18:39:00, 45.0, 0%
2024-05-10 18:39:30, 46.1, 50%
2024-05-10 18:40:00, 47.2, 0%
2024-05-10 18:40:30, 46.6, 33.3%
2024-05-10 18:41:00, 45.5, 0%
2024-05-10 18:41:30, 45.0, 50%
